Markası: Fiat, Modeli: Doblo, Üretim Yılı: 2014, Rengi: Otomobil, Fiyatı: 700000, Kodu: 1414
Markası: Hyundai, Modeli: Accent Blue, Üretim Yılı: 2023, Rengi: Beyaz, Tipi: Otomobil, Fiyatı: 950000, Kodu: 1258
Markası: Wolkswagen, Modeli: 2019, Üretim Yılı: 2019, Rengi: Sari, Tipi: Otomobil, Fiyatı: 750000, Kodu: 1554
Markası: Ford, Modeli: Transit, Üretim Yılı: 2010, Rengi: Beyaz, Tipi: Kamyonet, Fiyatı: 350000, Kodu: 1522
Markası: Toyota, Modeli: Corolla, Üretim Yılı: 2022, Rengi: Gri, Tipi: Otomobil, Fiyatı: 850000, Kodu: 1769
Markası: Renault, Modeli: Clio, Üretim Yılı: 2018, Rengi: Mavi, Tipi: Otomobil, Fiyatı: 600000, Kodu: 1958
Markası: Mercedes-Benz, Modeli: E 220, Üretim Yılı: 2021, Rengi: Siyah, Tipi: Otomobil, Fiyatı: 1300000, Kodu: 1010
Markası: BMW, Modeli: 520i, Üretim Yılı: 2020, Rengi: Beyaz, Tipi: Otomobil, Fiyatı: 1200000, Kodu: 2120
Markası: Audi, Modeli: A3, Üretim Yılı: 2019, Rengi: Gri, Tipi: Otomobil, Fiyatı: 950000, Kodu: 3098
Markası: Nissan, Modeli: Qashqai, Üretim Yılı: 2023, Rengi: Kırmızı, Tipi: SUV, Fiyatı: 1100000, Kodu: 4343
Markası: Peugeot, Modeli: 308, Üretim Yılı: 2022, Rengi: Beyaz, Tipi: Otomobil, Fiyatı: 820000, Kodu: 2384
Markası: Opel, Modeli: Astra, Üretim Yılı: 2021, Rengi: Siyah, Tipi: Otomobil, Fiyatı: 800000, Kodu: 1175
Markası: Honda, Modeli: Civic, Üretim Yılı: 2020, Rengi: Beyaz, Tipi: Otomobil, Fiyatı: 890000, Kodu: 4433
Markası: Mazda, Modeli: CX-5, Üretim Yılı: 2022, Rengi: Kahverengi, Tipi: SUV, Fiyatı: 1050000, Kodu: 5678
Markası: Kia, Modeli: Sportage, Üretim Yılı: 2021, Rengi: Mavi, Tipi: SUV, Fiyatı: 950000, Kodu: 9821
Markası: Subaru, Modeli: Outback, Üretim Yılı: 2023, Rengi: Gri, Tipi: SUV, Fiyatı: 1150000, Kodu: 1890
Markası: Citroen, Modeli: C4, Üretim Yılı: 2020, Rengi: Beyaz, Tipi: Otomobil, Fiyatı: 750000, Kodu: 5721
Markası: Mitsubishi, Modeli: Lancer, Üretim Yılı: 2019, Rengi: Gri, Tipi: Otomobil, Fiyatı: 680000, Kodu: 7832
Markası: Jaguar, Modeli: F-Pace, Üretim Yılı: 2022, Rengi: Siyah, Tipi: SUV, Fiyatı: 1400000, Kodu: 9321
Markası: Land Rover, Modeli: Discovery, Üretim Yılı: 2023, Rengi: Beyaz, Tipi: SUV, Fiyatı: 1550000, Kodu: 2458
Markası: Volvo, Modeli: XC60, Üretim Yılı: 2021, Rengi: Gri, Tipi: SUV, Fiyatı: 1250000, Kodu: 1098
Markası: Porsche, Modeli: 911, Üretim Yılı: 2022, Rengi: Kırmızı, Tipi: Spor Araba, Fiyatı: 2100000, Kodu: 5674
Markası: Ferrari, Modeli: 488 GTB, Üretim Yılı: 2023, Rengi: Siyah, Tipi: Spor Araba, Fiyatı: 3500000, Kodu: 8765
Markası: Lamborghini, Modeli: Aventador, Üretim Yılı: 2022, Rengi: Sarı, Tipi: Spor Araba, Fiyatı: 4500000, Kodu: 4234
